,Masked_sentences,Labels
2452,The boy reminded Yehuda of himself [MASK] younger years.,in
2453,“I’m sorry?” the [MASK] said.,rabbi
2454,"The boy opened his mouth to speak, but instead of language, an [MASK] buzzing noise issued from his throat and a blinding white light flashed from his eyes.",electronic
2455,"Rabbi [MASK] awoke with a gasp, sitting bolt upright in his chair.",Köves
2456,"“Oy gevalt!” The phone [MASK] his desk was blaring, and the old rabbi spun around, scanning the study of his házikó in a panic.",on
2457,"Thankfully, he was [MASK] alone.",entirely
2458,[MASK] could feel his heart pounding.,He
2459,"Such a strange [MASK] he thought, trying to catch his breath.","dream,"
2460,"The phone was insistent, and Köves knew that at this hour it had to be Bishop Valdespino, calling to provide him with an [MASK] on his transportation to Madrid.",update
2461,"“Bishop Valdespino,” [MASK] rabbi answered, still feeling disoriented.",the
2462,“What is the [MASK] “Rabbi Yehuda Köves?” an unfamiliar voice inquired.,news?”
2463,"“You don’t know me, and [MASK] don’t want to frighten you, but I need you to listen to me carefully.” Köves was suddenly wide-awake.",I
2464,"The voice [MASK] female but was masked somehow, sounding distorted.",was
2465,The caller spoke [MASK] rushed English with a slight Spanish accent.,in
2466,“I’m filtering my voice for [MASK],privacy.
2467,"I apologize for that, but in a moment, you will [MASK] “Who is this?",understandwhy.”
2468,!” Köves [MASK],demanded.
2469,"“I am a watchdog—someone [MASK] does not appreciate those who try to conceal the truth from the public.” “I…don’t understand.” “Rabbi Köves, I know you attended a private meeting with Edmond Kirsch, Bishop Valdespino, and Allamah Syed al-Fadl three days ago at the Montserrat monastery.” How does she know this?!",who
2470,"“In addition, I know Edmond [MASK] provided the three of you with extensive information about his recent scientific discovery…and that you are now involved in a conspiracy to conceal it.” “What?",Kirsch
2471,"!” “If you do not listen to me [MASK] carefully, then I predict you will be dead by morning, eliminated by the long arm of Bishop Valdespino.” The caller paused.",very
2472,“Just like Edmond Kirsch and your [MASK] Syed al-Fadl.”CHAPTER 32 B ilbao’s La Salve Bridge crosses the Nervión River in such close proximity to the Guggenheim Museum that the two structures often have the appearance of being fused into one.,friend
2473,"Immediately recognizable by its unique central support—a towering, bright red strut shaped like a giant letter H —the bridge takes the name “La Salve” [MASK] folkloric tales of sailors returning from sea along this river and saying prayers of gratitude for their safe arrival home.",from
2474,"After exiting the rear of the building, Langdon and Ambra had quickly covered the short distance between the museum and the riverbank and were now waiting, as Winston had requested, on [MASK] walkway in the shadows directly beneath the bridge.",a
2475,Waiting for [MASK],what?
2476,"[MASK] wondered, uncertain.",Langdon
2477,"As they lingered in the darkness, he could [MASK] Ambra’s slender frame shivering beneath her sleek evening dress.",see
2478,"He removed his tails jacket and placed [MASK] around her shoulders, smoothing the fabric down her arms.",it
2479,"Without warning, she suddenly [MASK] and faced him.",turned
2480,"For [MASK] instant, Langdon feared he had overstepped a boundary, but Ambra’s expression was not one of displeasure, but rather one of gratitude.",an
2481,"“Thank you,” [MASK] whispered, gazing up at him.",she
2482,"“Thank you for helping me.” With her eyes locked on his, Ambra Vidal reached out, took Langdon’s hands, and clasped them in her own, as if she were [MASK] to absorb any warmth or comfort he could offer.",trying
2483,"Then, [MASK] as quickly, she released them.",just
2484,"“Sorry,” [MASK] whispered.",she
2485,"“ Conducta impropia, as my mother would say.” Langdon gave her [MASK] reassuring grin.",a
2486,"“Extenuating circumstances, as my mother would say.” She managed a smile, [MASK] it was short-lived.",but
2487,"“I feel absolutely ill,” she said, [MASK] away.",glancing
2488,"“Tonight, what happened to Edmond…”“It’s appalling…dreadful,” Langdon said, [MASK] he was still too much in shock to express his emotions fully.",knowing
2489,[MASK] was staring at the water.,Ambra
2490,"“And to think that my fiancé, Don Julián, is involved…” [MASK] could hear the betrayal in her voice and was uncertain how to reply.",Langdon
2491,"“I realize how it appears,” he said, treading lightly on this [MASK] ground, “but we really don’t know that for sure.",delicate
2492,It’s possible Prince Julián had no advance notice [MASK] the killing tonight.,about
2493,"The assassin [MASK] have been acting alone, or working for someone other than the prince.",could
2494,It makes little sense that the future king of Spain would orchestrate the public assassination of a civilian—especially one traceable directly back to him.” “It’s only [MASK] because Winston figured out that Ávila was a late addition to the guest list.,traceable
2495,Maybe Julián thought nobody would ever figure out who pulled [MASK] trigger.” Langdon had to admit she had a point.,the
2496,"“I never should have discussed Edmond’s presentation with Julián,” Ambra said, [MASK] back to him.",turning
2497,"“He was urging me not to participate, and so I tried to reassure him that my involvement would be minimal, that it was all nothing [MASK] a video screening.",but
2498,I think I even told Julián that Edmond [MASK] launching his discovery from a smartphone.” She paused.,was
2499,"“Which means, if they see that we took [MASK] phone, they’ll realize that his discovery can still be broadcast.",Edmond’s
2500,And I really don’t know how [MASK] Julián will go to interfere.” Langdon studied the beautiful woman a long moment.,far
2501,"“You [MASK] trust your fiancé at all, do you?” Ambra took a deep breath.",don’t
2502,"“The truth is, I don’t know him as well as you might assume.” “Then why did you agree to marry him?” “Quite simply, Julián put me in a [MASK] where I had no choice.” Before Langdon could respond, a low rumble began shaking the cement beneath their feet, reverberating through the grotto-like space beneath the bridge.",position
2503,The sound grew louder and [MASK],louder.
2504,"It seemed to be coming from [MASK] the river, to their right.",up
2505,Langdon turned and saw a dark shape speeding toward them—a powerboat approaching [MASK] no running lights.,with
2506,"As it neared [MASK] high cement bank, it slowed and began to glide up perfectly beside them.Langdon stared down at the craft and shook his head.",the
2507,"Until this moment, he had been unsure how much faith to [MASK] in Edmond’s computerized docent, but now, seeing a yellow water taxi approaching the bank, he realized that Winston was the best ally they could possibly have.",place
2508,The disheveled [MASK] waved them aboard.,captain
2509,"“Your British man, he call me,” the [MASK] said.",man
2510,“He say VIP client pay [MASK] for…how you say… velocidad y discreción?,triple
2511,I do [MASK] see?,it—you
2512,"No lights!” [MASK] thank you,” Langdon replied.","“Yes,"
2513,"[MASK] call, Winston.",Good
2514,[MASK] and discretion.,Speed
2515,"The captain reached out and helped Ambra aboard, [MASK] as she disappeared into the small covered cabin to get warm, he gave Langdon a wide-eyed smile.",and
2516,“This [MASK] VIP?,my
2517,"Señorita Ambra Vidal?” “Velocidad [MASK] discreción,” Langdon reminded him.",y
2518,“ [MASK] sí!,"¡Sí,"
2519,Okay!” The man scurried to the [MASK] and revved the engines.,helm
2520,"Moments later, the powerboat was skimming westward through the darkness along [MASK] Nervión River.",the
2521,"Off the port side of the boat, Langdon [MASK] see the Guggenheim’s giant black widow, eerily illuminated by the spinning lights of police cars.",could
2522,"Overhead, a news [MASK] streaked across the sky toward the museum.",chopper
2523,"The first of many, Langdon [MASK]",suspected.
2524,Langdon pulled Edmond’s cryptic note card from his pants [MASK],pocket.
2525,[MASK],BIOEC346.
2526,"Edmond had told him to give it to a taxi driver, although Edmond probably never [MASK] the vehicle would be a water taxi.",imagined
2527,"“Our British friend…,” Langdon yelled to the [MASK] over the sound of the roaring engines.",driver
2528,"“I assume [MASK] told you where we are going?” “Yes, yes!",he
2529,"I warn him by boat I can take you only almost there, but he say no problem, [MASK] walk three hundred meters, no?” “That’s fine.",you
2530,And how far [MASK] it from here?” The man pointed to a highway that ran along the river on the right.,is
2531,"“Road sign say seven kilometers, but in boat, a little [MASK] Langdon glanced out at the illuminated highway sign.",more.”
2532,AEROPUERTO BILBAO (BIO) 7 KM He smiled ruefully at the sound of Edmond’s voice [MASK] his mind.,in
2533,"It’s a [MASK] simple code, Robert.",painfully
2534,"Edmond was right, [MASK] when Langdon had finally figured itout earlier tonight, he had been embarrassed that it had taken him so long.",and
2535,"BIO was indeed a code—although it was no more difficult to decipher [MASK] similar codes from around the world: BOS, LAX, JFK.",than
2536,BIO is the local [MASK] code.,airport
2537,[MASK] rest of Edmond’s code had fallen into place instantly.,The
2538,[MASK],EC346.
2539,"Langdon had never seen Edmond’s private jet, but he knew the plane existed, and he had little doubt that the country code for [MASK] Spanish jet’s tail number would start with the letter E for España.",a
2540,EC346 is a private [MASK],jet.
2541,"Clearly, if a cabdriver had taken [MASK] to Bilbao Airport, Langdon could have presented Edmond’s card to security and been escorted directly to Edmond’s private plane.",him
2542,"I hope Winston reached the pilots to warn them we are coming, Langdon thought, looking back in the direction of the museum, which [MASK] growing smaller and smaller in their wake.",was
2543,"Langdon considered going inside the cabin to join Ambra, but the fresh air felt good, and [MASK] decided to give her a couple of minutes alone to gather herself.",he
2544,"[MASK] could use a moment too, he thought, moving toward the bow.",I
2545,"At [MASK] front of the boat, with the wind whipping through his hair, Langdon untied his bow tie and pocketed it.",the
2546,"Then he released the top button of his wingtip collar [MASK] breathed as deeply as he could, letting the night air fill his lungs.",and
2547,"Edmond, he [MASK]",thought.
2548,What have you done?CHAPTER 33 C ommander Diego Garza was fuming as [MASK] paced the darkness of Prince Julián’s apartment and endured the bishop’s self-righteous lecture.,he
2549,"You are trespassing where you do not belong, [MASK] wanted to shout at Valdespino.",Garza
2550,This [MASK] not your domain!,is
2551,"Once again, [MASK] Valdespino had inserted himself into palace politics.",Bishop
2552,"Having materialized like a specter in the darkness of Julián’s apartment, Valdespino was adorned in full ecclesiastical vestments and was now giving an impassioned sermon to Julián about the importance of Spain’s traditions, the devoted religiosity of past kings and queens, and the comforting [MASK] of the Church in times of crisis.",influence
2553,"This is not the moment, Garza [MASK]",seethed.
2554,"Tonight, [MASK] Julián would need to deliver a delicate public relations performance, and the last thing Garza needed was to have him distracted by Valdespino’s attempts to impose a religious agenda.",Prince
2555,The buzz of Garza’s phone conveniently interrupted the bishop’s [MASK],monologue.
2556,"“Sí, dime,” Garza answered loudly, positioning himself between the prince [MASK] the bishop.",and
2557,"“¿Qué tal va?” “Sir, it’s Agent [MASK] in Bilbao,” the caller said in rapid-fire Spanish.",Fonseca
2558,“I’m afraid [MASK] been unable to capture the shooter.,we’ve
2559,The [MASK] company we thought could track him has lost contact.,car
2560,"The shooter [MASK] to have anticipated our actions.” Garza swallowed his anger and exhaled calmly, trying to ensure that his voice would reveal nothing about his true state of mind.",seems
2561,"[MASK] understand,” he replied evenly.",“I
2562,"“At the moment, your only concern is [MASK] Vidal.",Ms.
2563,"The prince [MASK] waiting to see her, and I’ve assured him that you’ll have her here shortly.” There was a long silence on the line.",is
2564,[MASK] long.,Too
2565,"“Commander?” Fonseca asked, [MASK] tentative.",sounding
2566,"“I’m sorry, sir, but I have bad [MASK] on that front.",news
2567,It appears that Ms. Vidal and the American professorhave left [MASK] building”—he paused—“without us.” Garza almost dropped his phone.,the
2568,"“I’m sorry, can you…repeat [MASK] “Yes, sir.",that?”
2569,Ms. Vidal and Robert Langdon [MASK] fled the building.,have
2570,Ms. Vidal intentionally abandoned her phone so [MASK] would be unable to track her.,we
2571,"We have no [MASK] where they’ve gone.” Garza realized his jaw had fallen slack, and the prince was now staring at him with apparent concern.",idea
2572,"Valdespino was also leaning in to hear, his eyebrows arched with [MASK] interest.",unmistakable
2573,"[MASK] excellent news!” Garza blurted suddenly, nodding with conviction.",“Ah—that’s
2574,“Good [MASK],work.
2575,We’ll see you all here later [MASK] evening.,this
2576,Let’s just confirm transport protocols and [MASK],security.
2577,"One moment, please.” Garza [MASK] the phone and smiled at the prince.",covered
2578,[MASK] is well.,“All
2579,"I’ll just step into the other room to sort out the details so [MASK] you gentlemen can have some privacy.” Garza was reluctant to leave the prince alone with Valdespino, but this was not a call he could take in front of either of them, so he walked to one of the guest bedrooms, stepped inside, and closed the door.",that
2580,“¿Qué diablos [MASK] pasado?” he seethed into the phone.,ha
2581,What the hell [MASK],happened?
2582,Fonseca relayed a story that sounded like utter [MASK],fantasy.
2583,“The lights [MASK] out?” Garza demanded.,went
2584,“A computer posed [MASK] a security officer and gave you bad intel?,as
2585,"How [MASK] I supposed to respond to that?” “I realize it is hard to imagine, sir, but that is precisely what happened.",am
2586,What we are struggling to understand is why the computer had [MASK] sudden change of heart.” “Change of heart?!,a
2587,"It’s a goddamned computer!” “What I mean is that the computer had previously been helpful—identifying the shooter by name, attempting to thwart the assassination, and also discovering [MASK] the getaway vehicle was an Uber car.",that
2588,"Then, very suddenly, it seemed to be [MASK] against us.",working
2589,"All we can figure is that Robert Langdon must have said something to it, [MASK] after its conversation with him, everything changed.” Now I’m battling a computer?",because
2590,Garza decided he was getting [MASK] old for this modern world.,too
2591,"“I’m sure I don’t need to tell you, Agent Fonseca, how embarrassing this would be for the prince both personally and politically if it were known that [MASK] fiancée had fled with the American, and that the prince’sGuardia Real had been tricked by a computer.” “We are acutely aware of that.” “Do you have any idea what would inspire the two of them to run away?",his
2592,It seems entirely [MASK] and reckless.” “Professor Langdon was quite resistant when I told him he would be joining us in Madrid this evening.,unwarranted
2593,He made [MASK] clear he did not want to come.” And so he fled a murder scene?,it
2594,"Garza sensed something else was [MASK] on, but he could not imagine what.",going
2595,[MASK] to me carefully.,“Listen
2596,"It is absolutely critical that you [MASK] Ambra Vidal and bring her back to the palace before any of this information leaks out.” “I understand, sir, but Díaz and I are the only two agents on the scene.",locate
2597,We can’t possibly search all of Bilbao [MASK],alone.
2598,"We’ll need to alert the local authorities, gain access to [MASK] cams, air support, every possible—” “Absolutely not!” Garza replied.",traffic
2599,[MASK] can’t afford the embarrassment.,“We
2600,Do your [MASK],job.
2601,"Find them on your own, and return Ms. Vidal to our custody [MASK] quickly as possible.” “Yes, sir.” Garza hung up, incredulous.",as
2602,"As he stepped out of the bedroom, a pale young woman hurried up the [MASK] toward him.",hallway
2603,"She was wearing her usual techie Coke-bottle [MASK] and beige pantsuit, and was anxiously clutching a computer tablet.",glasses
2604,"God [MASK] me, Garza thought.",save
2605,Not [MASK],now.
2606,"Mónica Martín was the palace’s newest and youngest-ever “public relations [MASK] post that included the duties of media liaison, PR strategist, and communications director—which Martín seemed to carry out in a permanent state of high alert.",coordinator”—a
2607,"At only twenty-six [MASK] of age, Martín held a communications degree from Madrid’s Complutense University, had done two years of postgrad work at one of the top computer schools in the world—Tsinghua University in Beijing—and then had landed a high-powered PR job at Grupo Planeta followed by a top “communications” post at Spanish television network Antena 3.",years
2608,"Last year, in a desperate attempt to connect via digital media [MASK] the young people of Spain, and to keep up with the mushrooming influence of Twitter, Facebook, blogs, and online media, the palace had fired a seasoned PR professional with decades of print and media experience and replaced him withthis tech-savvy millennial.",with
2609,"Martín owes everything to Prince Julián, Garza [MASK]",knew.
2610,The young woman’s appointment to the palace staff had been one of Prince Julián’s few contributions to palace operations—a rare [MASK] when he flexed his muscle with his father.,instance
2611,"Martín [MASK] considered one of the best in the business, but Garza found her paranoia and nervous energy utterly exhausting.",was
2612,"[MASK] theories, ” Martín announced to him, waving her tablet as she arrived.",“Conspiracy
2613,“They’re exploding all [MASK] Garza stared at his PR coordinator in disbelief.,over.”
2614,[MASK] I look like I care?,Do
2615,He had more important things to worry [MASK] tonight than the conspiratorial rumor mill.,about
2616,“Would you mind telling me what you are doing strolling through the royal residence!” “The control room just pinged your [MASK] She pointed to the phone on Garza’s belt.,GPS.”
2617,"Garza closed his eyes and exhaled, [MASK] his irritation.",swallowing
2618,"In addition to a new PR coordinator, the palace had recently implemented a new “division of electronic security,” which [MASK] Garza’s team with GPS services, digital surveillance, profiling, and preemptive data mining.",supported
2619,"Every day, Garza’s staff was more diverse [MASK] youthful.",and
2620,Our control room looks like a college campus [MASK] center.,computer
2621,[MASK] the newly implemented technology used to track Guardia agents was also tracking Garza himself.,"Apparently,"
2622,It felt unnerving to think that a bunch [MASK] kids in the basement knew his whereabouts at every instant.,of
2623,"“I came to you personally,” Martín said, holding out her tablet, “because I knew you’d want [MASK] see this.” Garza snatched the device from her and eyed the screen, seeing a stock photo and bio of the silver-bearded Spaniard who had been identified as the Bilbao shooter—royal navy admiral Luis Ávila.",to
2624,"“There’s a lot of damaging chatter,” said Martín, “and much is being made of [MASK] being a former employee of the royal family.” “Ávila worked for the navy!” Garza spluttered.",Ávila’s
2625,"“Yes, but technically, the king is the commander of the armed forces—” [MASK] right there,” Garza ordered, shoving the tablet back at her.",“Stop
2626,"“Suggesting the king is somehow complicit in a terrorist act is an absurd stretch made by conspiracy nuts, and is wholly irrelevant to our [MASK] tonight.",situation
2627,Let’s just countour blessings and get back to [MASK],work.
2628,"After all, this lunatic could have killed the queen consort but chose instead to kill [MASK] American atheist.",an
2629,"All [MASK] all, not a bad outcome!” The young woman didn’t flinch.",in
2630,"“There’s something else, sir, [MASK] relates to the royal family.",which
2631,"I didn’t want you to be blindsided.” [MASK] Martín spoke, her fingers flew across the tablet, navigating to another site.",As
2632,"“This [MASK] a photo that has been online for a few days, but nobody noticed it.",is
2633,"Now, with everything about Edmond Kirsch going viral, this photo is starting to appear in [MASK] news.” She handed Garza the tablet.",the
2634,"Garza eyed a headline: “Is This the Last Photo Taken of Futurist Edmond Kirsch?” A blurry photograph showed Kirsch [MASK] in a dark suit, standing on a rocky bluff beside a perilous cliff.",dressed
2635,"“The photo was taken three days ago,” Martín said, “while Kirsch was visiting [MASK] Abbey of Montserrat.",the
2636,A [MASK] on-site recognized Kirsch and snapped a photo.,worker
2637,"After Kirsch’s murder [MASK] the worker re-posted the photo as one of the last ever taken of the man.” “And this relates to us, how?” Garza asked pointedly.","tonight,"
2638,“Scroll down to the next [MASK] Garza scrolled down.,photo.”
2639,On seeing the second [MASK] he had to reach out and steady himself on the wall.,"image,"
2640,"“This…this can’t be true.” In this [MASK] version of the same shot, Edmond Kirsch could be seen standing beside a tall man wearing a traditional Catholic purple cassock.",wider-frame
2641,The man [MASK] Bishop Valdespino.,was
2642,"“It’s true, sir,” Martín [MASK]",said.
2643,"“Valdespino met with Kirsch a [MASK] days ago.” “But…” Garza hesitated, momentarily speechless.",few
2644,“But why wouldn’t [MASK] bishop have mentioned this?,the
2645,Especially considering all that has happened tonight!” Martín gave a suspicious [MASK],nod.
2646,“That’s why [MASK] chose to speak to you first.” Valdespino met with Kirsch!,I
2647,[MASK] could not quite wrap his mind around it.,Garza
2648,And [MASK] bishop declined to mention it?,the
2649,"The news was alarming, [MASK] Garza felt eager to warn the prince.",and
2650,"“Unfortunately,” the young woman said, “there’s a lot more.” She [MASK] manipulating her tablet again.",began
2651,"“Commander?” Valdespino’s voice called suddenly from the [MASK] room.“What is the news on Ms. Vidal’s transport?” Mónica Martín’s head snapped up, eyes wide.",living
2652,“Is that the bishop?” she [MASK],whispered.
2653,“Valdespino is here in [MASK] residence?” “Yes.,the
2654,Counseling the [MASK] “Commander!” Valdespino called again.,prince.”
2655,"“Are you there?” “Believe me,” Martín whispered, her tone [MASK] “there is more information that you must have right away—before you say another word to the bishop or the prince.","panicked,"
2656,Trust me when I tell you that tonight’s crisis impacts us far more deeply than you can imagine.” Garza studied his PR coordinator a [MASK] and made his decision.,moment
2657,[MASK] in the library.,“Downstairs
2658,I’ll meet you [MASK] in sixty seconds.” Martín nodded and slipped away.,there
2659,"Alone now, Garza took a deep breath and forced his features to relax, hoping to erase all traces of his [MASK] anger and confusion.",growing
2660,"Calmly, he strolled back into the [MASK] room.",living
2661,"[MASK] is well with Ms. Vidal,” Garza announced with a smile as he entered.",“All
2662,“She’ll [MASK] here later.,be
2663,I’m headed down to the security office to confirm her transportation personally.” Garza gave Julián a confident [MASK] and then turned to Bishop Valdespino.,nod
2664,[MASK] be back shortly.,“I’ll
2665,"Don’t go away.” With that, he turned [MASK] strode out.",and
2666,"[MASK] As Garza exited the apartment, Bishop Valdespino stared after him, frowning.",—
2667,"“Is something wrong?” the prince asked, [MASK] the bishop closely.",eyeing
2668,"[MASK] Valdespino replied, turning back to Julián.","“Yes,”"
2669,“I’ve been taking confessions for fifty [MASK],years.
2670,"I know a lie when I hear one.”CHAPTER 34 ConspiracyNet.com BREAKING NEWS ONLINE COMMUNITY ERUPTS [MASK] QUESTIONS In the wake of Edmond Kirsch’s assassination, the futurist’s massive online following has erupted in a firestorm of speculation over two urgent issues.",WITH
2671,WHAT WAS KIRSCH’S [MASK],DISCOVERY?
2672,"WHO KILLED HIM, [MASK] WHY?",AND
2673,"Regarding Kirsch’s discovery, theories have already flooded [MASK] Internet and span a wide range of topics—from Darwin, to extraterrestrials, to Creationism, and beyond.",the
2674,"No motive has yet [MASK] confirmed for this killing, but theories include religious zealotry, corporate espionage, and jealousy.",been
2675,"ConspiracyNet has been promised exclusive information about the killer, and we will share it with you the moment it arrives.CHAPTER 35 A mbra Vidal stood alone in the cabin of the water taxi, [MASK] Robert Langdon’s jacket around her.",clutching
2676,"Minutes ago, when Langdon asked why she [MASK] agreed to marry a man she barely knew, Ambra had replied truthfully.",had
2677,I [MASK] given no choice.,was
2678,"Her engagement to Julián was a misfortune she could not bear to relive tonight, not with everything else [MASK] had happened.",that
2679,I [MASK] trapped.,was
2680,I’m [MASK] trapped.,still
2681,"Now, as Ambra looked at [MASK] own reflection in the dirty window, she felt an overwhelming sense of loneliness engulf her.",her
2682,"[MASK] Vidal was not one to indulge in self-pity, but at the moment her heart felt brittle and adrift.",Ambra
2683,I’m engaged to [MASK] man who is involved somehow in a brutal murder.,a
2684,The prince had sealed [MASK] fate with a single phone call only an hour before the event.,Edmond’s
2685,"Ambra had been frantically preparing for the arrival of the guests when a young staff member had rushed in, excitedly waving a slip of [MASK]",paper.
2686,[MASK] Vidal!,“¡Señora
2687,¡Mensaje para usted!” The girl was giddy and explained in breathless Spanish [MASK] an important call had just come in to the museum’s front desk.,that
2688,"“Our caller ID,” she squeaked, “said Royal Palace of Madrid, [MASK] so of course I answered!",and
2689,And it was someone calling from the office of Prince Julián!” “They called [MASK] front desk?” Ambra asked.,the
2690,"“They have my cell number.” “The prince’s assistant said he tried your mobile,” the staffer explained, “but they couldn’t get through.” Ambra [MASK] her phone.",checked
2691,[MASK],Odd.
2692,No missed [MASK],call.
2693,"Then she realized that some technicians had just been testing the museum’s cellular jamming system, and Julián’s assistant must have called while [MASK] phone was disabled.“It seems the prince got a call today from a very important friend in Bilbao who wants to attend tonight’s event.” The girl handed Ambra the slip of paper.",her
2694,“He hoped you would be able to [MASK] one name to tonight’s guest list?” Ambra eyed the message.,add
2695,Almirante Luis Ávila [MASK],(ret.)
2696,Armada Española A retired [MASK] from the Spanish navy?,officer
2697,"“They left a number and said you can call back directly if you want to discuss it, but that Julián was about to go into a meeting, so [MASK] probably won’t reach him.",you
2698,But the caller insisted [MASK] the prince does hope this request is not an imposition.” An imposition?,that
2699,Ambra [MASK],smoldered.
2700,Considering what you’ve already [MASK] me through?,put
2701,"“I’ll take care [MASK] it,” Ambra said.",of
2702,“Thank you.” The young staffer danced away as if she’d just relayed [MASK] word of God Himself.,the
2703,"Ambra glared at the prince’s request, irritated that he would think it appropriate to exert his influence with her in this way, especially after lobbying so hard against [MASK] participation in tonight’s event.",her
2704,"Once [MASK] you leave me no choice, she thought.","again,"
2705,"If she ignored this request, the result would be an uncomfortable confrontation with a prominent [MASK] officer at the front door.",naval
2706,Tonight’s event was meticulously choreographed and would attract [MASK] media coverage.,unparalleled
2707,The last thing I need is an embarrassing tussle with one of Julián’s [MASK] friends.,high-powered
2708,"Admiral Ávila had not been vetted or placed on the “cleared” list, but Ambra suspected that demanding a security check was both unnecessary and potentially [MASK]",insulting.
2709,"After all, the man was a distinguished naval officer with [MASK] power to pick up the phone, call the Royal Palace, and ask the future king for a favor.",enough
2710,"And so, facing a tight [MASK] Ambra made the only decision she could make.","schedule,"
2711,"She wrote Admiral Ávila’s name on the guest list at the front door, and also [MASK] it to the docenting database so a headset could be initialized for this new guest.",added
2712,"Then she went back to work.And now Edmond is dead, Ambra reflected, returning [MASK] the present moment in the darkness of the water taxi.",to
2713,"As she tried to rid her mind of the painful memories, a strange thought occurred [MASK] her.",to
2714,I never spoke directly to Julián…the entire message was relayed through [MASK] parties.,third
2715,The [MASK] brought with it a small ray of hope.,notion
2716,Is it possible [MASK] Robert is right?,that
2717,And that [MASK] Julián is innocent?,maybe
2718,[MASK] considered it a moment longer and then hurried outside.,She
2719,"She found the American [MASK] standing alone on the bow, hands on the railing as he stared out into the night.",professor
2720,"Ambra joined him there, startled to see that the boat had left the main branch of the Nervión River and was now skimming northward along a small tributary that seemed less of a river than a perilous [MASK] with high muddy banks.",channel
2721,"The shallow water and tight quarters [MASK] Ambra nervous, but their boat captain seemed unfazed, racing along the narrow gorge at top speed, his headlight blazing the way.",made
2722,She quickly told [MASK] about the call from Prince Julián’s office.,Langdon
2723,“All I really know is that the museum’s [MASK] desk got a call that originated in the Royal Palace of Madrid.,front
2724,"Technically, that [MASK] could have been from anyone there claiming to be Julián’s assistant.” Langdon nodded.",call
2725,“That may be why the [MASK] chose to relay the request to you rather than talk to you directly.,person
2726,"Any idea who might be involved?” Considering Edmond’s history with Valdespino, Langdon was [MASK] to look toward the bishop himself.",inclined
2727,"“It [MASK] be anybody,” Ambra said.",could
2728,“It’s a delicate [MASK] in the palace right now.,time
2729,"With Julián taking center stage, a lot of the old [MASK] are scrambling to find favor and gain Julián’s ear.",advisers
2730,"The country is changing, and I think a lot of the old guard are desperate to retain power.” “Well, whoever is involved,” Langdon said, [MASK] hope they don’t figure out we’re trying to locate Edmond’s password and release his discovery.” As he spoke the words, Langdon felt the stark simplicity of their challenge.",“let’s
2731,[MASK] also sensed its blunt peril.,He
2732,[MASK] was murdered to keep this information from being released.,Edmond
2733,"For an instant, Langdon wondered if his safest option [MASK] be simply to fly directly home from the airport and let someone else handle all this.",might
2734,"Safe, yes, he thought, but an option…no.Langdon felt a profound sense of duty toward his old student, along with moral outrage [MASK] a scientific breakthrough could be so brutally censored.",that
2735,He also [MASK] a deep intellectual curiosity to learn exactly what Edmond had discovered.,felt
2736,"[MASK] finally, Langdon knew, there is Ambra Vidal.",And
2737,"The woman was clearly in crisis, and when she had looked into his eyes and pleaded for help, Langdon had sensed in her a deep well of personal conviction and self-reliance…yet he had also seen heavy clouds of [MASK] and regret.",fear
2738,"There are secrets there, [MASK] sensed, dark and confining.",he
2739,She is reaching [MASK] for help.,out
2740,"Ambra raised her eyes suddenly, as if sensing Langdon’s [MASK]",thoughts.
2741,"“You [MASK] cold,” she said.",look
2742,“You need [MASK] jacket back.” He smiled softly.,your
2743,“I’m fine.” “Are you thinking you should leave Spain as soon as we get to the airport?” [MASK] laughed.,Langdon
2744,"“Actually, that did [MASK] my mind.” “Please don’t.” She reached out to the railing and placed her soft hand on top of his.",cross
2745,“I’m not sure what we’re [MASK] tonight.,facing
2746,"You [MASK] close to Edmond, and he told me more than once how much he valued your friendship and trusted your opinion.",were
2747,"I’m scared, Robert, [MASK] I really don’t think I can face this alone.” Ambra’s flashes of unguarded candor were startling to Langdon, and yet also utterly captivating.",and
2748,"“Okay,” he said, [MASK]",nodding.
2749,"“You and I owe it to Edmond [MASK] frankly, to the scientific community, to find that password and make his work public.” Ambra smiled softly.","and,"
2750,“Thank you.” Langdon glanced behind the [MASK],boat.
2751,“I imagine your Guardia agents have realized by now [MASK] we’ve left the museum.” “No doubt.,that
2752,"But Winston was quite impressive, wasn’t he?” “Mind-boggling,” Langdon replied, only now [MASK] to grasp the quantum leap Edmond had made in the development of AI.",starting
2753,"Whatever Edmond’s “proprietary breakthrough technologies” had been, clearly [MASK] had been poised to usher in a brave new world of human–computer interaction.",he
2754,"Tonight, [MASK] had proven himself a faithful servant to his creator as well as an invaluable ally to Langdon and Ambra.",Winston
2755,"In a matter of minutes, Winston had identified a threat on the guest list, attempted to thwart Edmond’s assassination, identified the getaway car, and facilitated Langdon [MASK] Ambra’s escape from the museum.“Let’s hope Winston phoned ahead to alert Edmond’s pilots,” Langdon said.",and
2756,"[MASK] sure he did,” Ambra said.",“I’m
2757,“But [MASK] right.,you’re
2758,"I should call Winston to double-check.” “Hold on,” Langdon said, [MASK]",surprised.
2759,“You can call [MASK],Winston?
2760,"When we left the museum and went [MASK] of range, I thought…” Ambra laughed and shook her head.",out
2761,"“Robert, Winston is not physically located inside the Guggenheim; he is located [MASK] a secret computer facility somewhere and accessed remotely.",in
